ComplaintType;Complaint;Date;Decision;Report_name
Facilities to the Press;Complaint of Shri D.D. Mittal, Organiser/Secretary General, All India Small Newspapers Association, Dehradun, Uttarakhand against Information & Public Relations Department, Government of Uttarakhand, Dehradun, Uttarakhand. ;21-09-2020;Dismissed;AnnualReport2021
Facilities to the Press;Complaint of Shri Bashir Manzar, General Secretary, Kashmir Editor’s Guild, Srinagar, Jammu & Kashmir against Government of Jammu & Kashmir, Srinagar, Jammu & Kashmir. ;21-09-2020;Matter settled;AnnualReport2021
Facilities to the Press;Complaint of Shri Fayaz Ahmad Kaloo, Editor-in-Chief, Greater Kashmir/ Kashmir Uzma, Srinagar, Jammu & Kashmir against the Information & Public Relations Department, the Govt. of Jammu & Kashmir, Srinagar, Jammu & Kashmir. ;21-09-2020;Matter settled;AnnualReport2021
Facilities to the Press;complaint of Shri Bhudev Prasad, Owner/Publisher, Aligarh Hungama, Aligarh, U.P. dated 17/4/2019 regarding the authentication copy of Declaration of transfer of title and ownership of Aligarh Hungama. ;21-09-2020;Disposed of with direction to RNI;AnnualReport2021
Facilities to the Press;Complaint of Shri Basant Kumar, Publisher, Prakash Bulletin, New Delhi against RNI, New Delhi. ;21-09-2020;Disposed of with directions to the Ministry of Information & Broadcasting to take remedial steps as permissible in law;AnnualReport2021
Facilities to the Press;Complaint of Shri Sushil Chaudhuri, Publisher, Dainik Ganadoot, Agartala, Tripura against the Directorate of Information and Cultural Affairs, Government of Tripura, Agartala, Tripura. ;21-09-2020;Disposed of with directions to the State Government;AnnualReport2021
Facilities to the Press;Complaint of Smt. Mahmooda Mansoori, Publisher, Dainik Avantika Herald, Ujjain, M.P. against the RNI, New Delhi. ;21-09-2020;Disposed of being settled and with observation;AnnualReport2021
Facilities to the Press;Complaint of Smt. Mahmooda Mansoori, Publisher, Saptahik Avantika Herald, Ujjain, M.P. against the DAVP, New Delhi. ;21-09-2020;Matter settled;AnnualReport2021
Facilities to the Press;Complaint of Shri Tumul Vijay, Editor, Tumul Toofani, Moradabad, U.P. against Municipal Council, Bilari. ;22-01-2021;Disposed of with direction to respondent for prompt payment;AnnualReport2021
Facilities to the Press;Complaint of Shri Sharad Katiyar, Editor, Youth India News Group, Farrukhabad, U.P. against Smt. Monika Rani, IAS, District Magistrate, Farrukhabad and Dr. Anil Kumar, Superintendent of Police, Fatehgarh. ;22-01-2021;Withdrawn;AnnualReport2021
Facilities to the Press;Complaint of Shri Amar Singh Johri, Reporter, Aakhiri Koshish, Journal, Panipat against Chief Secretary, Director General, I& PRD, Haryana. ;22-01-2021;Disposed of;AnnualReport2021
